,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2024-12-04,8095.3919851340515,7734.822601614694,6022.295222007683,6356.171478818935
2024-12-05,8081.232550833371,7721.136745479243,6000.148756946552,6299.189767125555
2024-12-06,8070.1643252846,7720.909872381047,6006.557809016121,6344.647162715494
2024-12-07,8070.1643252846,7720.909872381047,6006.557809016121,6344.647162715494
2024-12-08,8070.1643252846,7720.909872381047,6006.557809016121,6344.647162715494
2024-12-09,8091.582836080123,7771.865225153414,5996.565371496965,6380.313059779071
2024-12-10,8024.764144551676,7749.017785679191,5967.697420704999,6395.5514307377125
2024-12-11,8054.101086746691,7765.393161122763,5953.555965375884,6375.520550267418
2024-12-12,8059.559890328015,7773.1327607964595,5942.388128666334,6352.059424767007
2024-12-13,8024.891037044055,7747.972330997861,5915.894892083833,6264.810109676849
2024-12-14,8024.891037044055,7747.972330997861,5915.894892083833,6264.810109676849
2024-12-15,8024.891037044055,7747.972330997861,5915.894892083833,6264.810109676849
2024-12-16,7967.901068596055,7727.450724476967,5883.67561258048,6265.4182011934745
2024-12-17,7979.566793600432,7752.469762328968,5911.9452600013565,6275.260384622946
2024-12-18,7795.832786647886,7605.135663527344,5797.798458478678,6122.934664657149
2024-12-19,7783.548728041779,7602.691870216321,5836.493866359436,6242.408408423509
2024-12-20,7949.6353624705625,7696.566328920124,5944.554837872022,6325.85873486196
2024-12-21,7949.6353624705625,7696.566328920124,5944.554837872022,6325.85873486196
2024-12-22,7949.6353624705625,7696.566328920124,5944.554837872022,6325.85873486196
2024-12-23,8020.0037429442455,7748.524469990616,5982.07519497734,6308.146515767302
2024-12-24,8093.8791287354225,7803.375580731176,6030.70344612346,6356.119241235536
2024-12-25,8093.8791287354225,7803.375580731176,6030.70344612346,6356.119241235536
2024-12-26,8095.505127722642,7801.181006756286,6037.149592884967,6362.173281072397
2024-12-27,8044.128809729606,7762.503138210336,5991.159581815321,6306.269906488752
2024-12-28,8044.128809729606,7762.503138210336,5991.159581815321,6306.269906488752
2024-12-29,8044.128809729606,7762.503138210336,5991.159581815321,6306.269906488752
2024-12-30,7949.52435872373,7694.430510975757,5916.466183977826,6227.185979950956
2024-12-31,7973.338129445694,7695.945863484639,5925.796034362042,6226.121370507856
2025-01-01,7973.338129445694,7695.945863484639,5925.796034362042,6226.121370507856
2025-01-02,7912.564685882466,7662.593708027655,5890.211598561478,6168.17606852188
2025-01-03,7950.172569388819,7703.865817434326,5925.487909348044,6186.927310969622
2025-01-04,7950.172569388819,7703.865817434326,5925.487909348044,6186.927310969622
2025-01-05,7950.172569388819,7703.865817434326,5925.487909348044,6186.927310969622
2025-01-06,7945.6530269547675,7723.541794476687,5912.77237604045,6174.107757647444
2025-01-07,7927.040852493692,7685.9693808643015,5916.951847416969,6188.420896081112
2025-01-08,7974.912230433586,7712.802612363211,5940.626875667488,6212.275847549468
2025-01-09,7974.912230433586,7712.802612363211,5940.626875667488,6212.275847549468
2025-01-10,7845.463335325866,7590.37283069814,5804.241356146907,6163.266381694421
2025-01-11,7845.463335325866,7590.37283069814,5804.241356146907,6163.266381694421
2025-01-12,7845.463335325866,7590.37283069814,5804.241356146907,6163.266381694421
2025-01-13,7890.69982737867,7592.4217832735185,5820.291255627104,6234.21826540045
2025-01-14,7877.127123091286,7587.064393442356,5823.407799732296,6233.063466987631
2025-01-15,7923.012031812968,7605.854280773806,5834.197620934222,6246.85585986322
2025-01-16,7895.437295598399,7542.95432244299,5855.742650817816,6279.773280149286
2025-01-17,7917.258514544657,7564.7824217132265,5855.01724557784,6306.590626423694
2025-01-18,7917.258514544657,7564.7824217132265,5855.01724557784,6306.590626423694
2025-01-19,7917.258514544657,7564.7824217132265,5855.01724557784,6306.590626423694
2025-01-20,7917.258514544657,7564.7824217132265,5855.01724557784,6306.590626423694
2025-01-21,7880.35224507859,7541.563798773751,5860.879673852243,6337.678273635079
2025-01-22,7827.077890266023,7537.741286738185,5843.38825684394,6315.814067872188
2025-01-23,7870.466364362112,7578.421168929642,5921.494732370897,6372.881379744324
2025-01-24,7776.111175873913,7496.291467342287,5893.619306473928,6370.808273277173
2025-01-25,7776.111175873913,7496.291467342287,5893.619306473928,6370.808273277173
2025-01-26,7776.111175873913,7496.291467342287,5893.619306473928,6370.808273277173
2025-01-27,7986.010163112282,7588.592540253989,6076.526847344544,6545.625426051362
2025-01-28,7911.71330748033,7584.5569892046005,6063.028389814626,6510.040262057999
